,ID,Account,Molecule,Winning_price_per_standard_unit,Province,Region,Tender_Type,Length_of_contract_in_Months,Presentation,Start_date
476,1671,Account73,Molecule5,3.00009,Provice28,Region18,Tender Type1,36,Presentation15,2011-05-31
478,1673,Account74,Molecule5,3.04107,Provice6,Region5,Tender Type1,36,Presentation15,2011-10-31
479,1674,Account18,Molecule5,0.4,Provice33,Region1,Tender Type6,24,Presentation15,2011-11-28
481,1676,Account61,Molecule5,0.135,Provice25,Region1,Tender Type4,25,Presentation15,2011-05-12
482,1680,Account64,Molecule5,0.1,Provice3,Region3,Tender Type4,12,Presentation15,2012-01-01
483,1683,Account94,Molecule5,0.102,Provice47,Region6,Tender Type1,24,Presentation15,2012-01-01
484,1686,Account95,Molecule5,0.111,Provice21,Region6,Tender Type1,12,Presentation15,2012-01-01
485,1688,Account112,Molecule5,0.12,Provice2,Region2,Tender Type3,12,Presentation15,2012-01-01
486,1691,Account53,Molecule5,0.13873,Provice9,Region8,Tender Type1,48,Presentation15,2012-01-03
487,1693,Account15,Molecule5,0.05965,Provice10,Region9,Tender Type1,24,Presentation15,2012-01-04
488,1696,Account96,Molecule5,0.083,Provice7,Region6,Tender Type2,36,Presentation15,2012-01-04
489,1700,Account25,Molecule5,0.15,Provice11,Region10,Tender Type1,12,Presentation15,2012-04-29
490,1704,Account70,Molecule5,0.085,Provice39,Region14,Tender Type2,12,Presentation15,2012-01-05
491,1706,Account34,Molecule5,0.24929,Provice42,Region19,Tender Type1,36,Presentation15,2012-07-05
492,1711,Account51,Molecule5,0.059,Provice32,Region7,Tender Type2,18,Presentation15,2012-01-07
493,1713,Account111,Molecule5,0.0491,Provice15,Region13,Tender Type3,48,Presentation15,2012-01-07
494,1715,Account81,Molecule5,0.0592,Provice45,Region7,Tender Type2,12,Presentation15,2012-05-07
495,1717,Account79,Molecule5,0.21429,Provice12,Region11,Tender Type3,48,Presentation15,2012-01-08
496,1719,Account92,Molecule5,0.07889,Provice20,Region17,Tender Type4,24,Presentation15,2012-01-08
497,1722,Account83,Molecule5,0.0481,Provice13,Region10,Tender Type3,48,Presentation15,2012-01-09
498,1724,Account22,Molecule5,0.0585,Provice20,Region17,Tender Type1,24,Presentation15,2012-01-10
499,1729,Account27,Molecule5,0.04786,Provice14,Region12,Tender Type1,36,Presentation15,2012-01-10
500,1736,Account119,Molecule5,0.0481,Provice13,Region10,Tender Type3,48,Presentation15,2012-01-10
501,1737,Account109,Molecule5,0.044,Provice8,Region7,Tender Type1,15,Presentation15,2012-10-26
502,1738,Account19,Molecule5,0.044,Provice5,Region1,Tender Type3,31,Presentation15,2012-10-28
503,1742,Account98,Molecule5,0.18,Provice3,Region3,Tender Type4,12,Presentation15,2012-10-31
504,1743,Account112,Molecule5,0.0472,Provice2,Region2,Tender Type3,12,Presentation15,2012-07-12
505,1744,Account27,Molecule5,0.04988,Provice14,Region12,Tender Type3,24,Presentation15,2013-01-02
506,1749,Account70,Molecule5,0.048,Provice39,Region14,Tender Type3,36,Presentation15,2013-06-02
507,1755,Account73,Molecule5,0.0615,Provice28,Region18,Tender Type3,36,Presentation15,2013-02-20
508,1757,Account11,Molecule5,0.05155,Provice1,Region1,Tender Type1,48,Presentation15,2013-01-05
509,1762,Account76,Molecule5,0.0424,Provice49,Region3,Tender Type3,36,Presentation15,2013-05-20
510,1764,Account32,Molecule5,0.0578,Provice1,Region1,Tender Type1,12,Presentation15,2013-01-06
511,1768,Account49,Molecule5,0.0667,Provice16,Region14,Tender Type1,24,Presentation15,2013-06-06
512,1771,Account27,Molecule5,0.053,Provice14,Region12,Tender Type3,48,Presentation15,2013-06-21
513,1772,Account100,Molecule5,0.0485,Provice29,Region1,Tender Type4,6,Presentation15,2013-01-07
514,1777,Account36,Molecule5,0.0448,Provice46,Region2,Tender Type1,12,Presentation15,2013-01-10
515,1781,Account108,Molecule5,0.03685,Provice4,Region4,Tender Type3,36,Presentation15,2014-01-01
516,1783,Account112,Molecule5,0.03999,Provice2,Region2,Tender Type3,12,Presentation15,2014-01-01
517,1784,Account28,Molecule5,0.0771,Provice17,Region15,Tender Type3,48,Presentation15,2014-02-21
518,1791,Account84,Molecule5,0.04,Provice18,Region5,Tender Type3,36,Presentation15,2014-12-03
519,1792,Account31,Molecule5,0.021,Provice20,Region17,Tender Type3,24,Presentation15,2014-05-30
520,1793,Account91,Molecule5,0.025,Provice10,Region9,Tender Type3,36,Presentation15,2014-07-08
521,1794,Account29,Molecule5,0.0442,Provice1,Region1,Tender Type1,12,Presentation15,2014-08-15
522,1796,Account79,Molecule5,0.058,Provice12,Region11,Tender Type3,27,Presentation15,2014-01-10
523,1799,Account95,Molecule5,0.02099,Provice21,Region6,Tender Type3,24,Presentation15,2014-01-11
524,1800,Account112,Molecule5,0.02389,Provice2,Region2,Tender Type3,12,Presentation15,2015-01-01
525,1804,Account23,Molecule5,0.03913,Provice22,Region5,Tender Type3,36,Presentation15,2015-12-01
526,1805,Account27,Molecule5,0.025,Provice14,Region12,Tender Type3,36,Presentation15,2015-12-02
527,1810,Account109,Molecule5,,Provice8,Region7,Tender Type1,24,Presentation15,2015-03-16
528,1811,Account102,Molecule5,0.0791,Provice24,Region1,Tender Type4,36,Presentation15,2015-04-29
529,1813,Account112,Molecule5,0.042,Provice2,Region2,Tender Type1,8,Presentation15,2015-11-05
530,1814,Account19,Molecule5,0.059,Provice5,Region1,Tender Type3,12,Presentation15,2015-05-31
531,1818,Account30,Molecule5,0.02875,Provice22,Region5,Tender Type1,24,Presentation15,2015-09-24
532,1820,Account20,Molecule5,0.06995,Provice25,Region1,Tender Type3,48,Presentation15,2016-01-01
540,1828,Account73,Molecule5,1.52025,Provice28,Region18,Tender Type1,36,Presentation16,2011-05-31
543,1831,Account74,Molecule5,1.5203,Provice6,Region5,Tender Type1,36,Presentation16,2011-10-31
544,1832,Account18,Molecule5,0.2,Provice33,Region1,Tender Type6,24,Presentation16,2011-11-28
545,1835,Account64,Molecule5,0.09,Provice3,Region3,Tender Type4,12,Presentation16,2012-01-01
546,1836,Account94,Molecule5,0.078,Provice47,Region6,Tender Type1,24,Presentation16,2012-01-01
547,1839,Account95,Molecule5,0.08715,Provice21,Region6,Tender Type1,12,Presentation16,2012-01-01
