,ID,Account,Molecule,Winning_price_per_standard_unit,Province,Region,Tender_Type,Length_of_contract_in_Months,Presentation,Start_date
1,227,Account95,Molecule3,1.56353,Provice21,Region6,Tender Type1,20,Presentation8,2010-01-05
2,232,Account111,Molecule3,1.77,Provice15,Region13,Tender Type1,24,Presentation8,2010-01-05
3,240,Account91,Molecule3,1.77,Provice10,Region9,Tender Type1,24,Presentation8,2010-01-07
4,242,Account51,Molecule3,1.5,Provice32,Region7,Tender Type1,12,Presentation8,2010-01-08
5,247,Account9,Molecule3,1.45,Provice33,Region1,Tender Type1,36,Presentation8,2010-01-11
6,249,Account104,Molecule3,1.812,Provice1,Region1,Tender Type1,12,Presentation8,2010-12-16
7,256,Account26,Molecule3,1.31,Provice34,Region12,Tender Type1,24,Presentation8,2011-03-28
8,264,Account98,Molecule3,1.29485,Provice3,Region3,Tender Type1,36,Presentation8,2011-01-06
9,269,Account74,Molecule3,1.54,Provice6,Region5,Tender Type1,36,Presentation8,2011-10-31
10,273,Account96,Molecule3,1.30986,Provice7,Region6,Tender Type1,36,Presentation8,2011-01-11
11,281,Account27,Molecule3,1.278,Provice14,Region12,Tender Type1,26,Presentation8,2011-11-30
12,285,Account112,Molecule3,1.11,Provice2,Region2,Tender Type3,12,Presentation8,2012-01-01
13,290,Account119,Molecule3,1.286,Provice13,Region10,Tender Type1,12,Presentation8,2012-01-04
14,293,Account49,Molecule3,1.5351,Provice16,Region14,Tender Type4,24,Presentation8,2012-05-31
15,298,Account19,Molecule3,3.65787,Provice5,Region1,Tender Type3,11,Presentation8,2014-01-07
16,303,Account19,Molecule3,1.39,Provice5,Region1,Tender Type3,12,Presentation8,2015-05-31
17,305,Account58,Molecule3,,Provice1,Region1,Tender Type4,12,Presentation8,2015-01-07
37,326,Account7,Molecule3,11.2694,Provice3,Region3,Tender Type4,3,Presentation9,2009-03-31
40,329,Account44,Molecule3,8.37,Provice31,Region3,Tender Type4,6,Presentation9,2009-05-31
41,330,Account26,Molecule3,8.37,Provice34,Region12,Tender Type1,24,Presentation9,2009-03-06
49,343,Account61,Molecule3,8.35,Provice25,Region1,Tender Type1,48,Presentation9,2010-01-01
50,344,Account113,Molecule3,4.85,Provice8,Region7,Tender Type2,12,Presentation9,2010-01-01
51,346,Account82,Molecule3,7.4,Provice44,Region5,Tender Type1,36,Presentation9,2010-01-02
52,349,Account82,Molecule3,5.79,Provice44,Region5,Tender Type1,36,Presentation9,2010-01-02
53,352,Account15,Molecule3,4.1,Provice10,Region9,Tender Type1,24,Presentation9,2010-01-03
54,358,Account81,Molecule3,4.85,Provice45,Region7,Tender Type2,16,Presentation9,2010-01-03
55,359,Account20,Molecule3,6.18,Provice25,Region1,Tender Type1,48,Presentation9,2010-01-04
56,362,Account36,Molecule3,4.19958,Provice46,Region2,Tender Type1,36,Presentation9,2010-01-04
57,367,Account22,Molecule3,3.89,Provice20,Region17,Tender Type1,36,Presentation9,2010-04-27
58,369,Account14,Molecule3,4.47742,Provice1,Region1,Tender Type1,36,Presentation9,2010-01-05
59,374,Account95,Molecule3,3.489,Provice21,Region6,Tender Type1,20,Presentation9,2010-01-05
60,378,Account111,Molecule3,3.489,Provice15,Region13,Tender Type1,24,Presentation9,2010-01-05
61,380,Account107,Molecule3,2.93,Provice19,Region16,Tender Type1,36,Presentation9,2010-07-30
62,385,Account51,Molecule3,2.721,Provice32,Region7,Tender Type1,12,Presentation9,2010-01-08
63,387,Account94,Molecule3,3.05,Provice47,Region6,Tender Type1,36,Presentation9,2010-01-10
64,395,Account9,Molecule3,3.3,Provice33,Region1,Tender Type1,36,Presentation9,2010-01-11
65,397,Account57,Molecule3,2.67,Provice23,Region10,Tender Type1,36,Presentation9,2010-01-12
66,401,Account38,Molecule3,2.98,Provice48,Region2,Tender Type2,6,Presentation9,2010-12-31
67,405,Account27,Molecule3,3.0,Provice14,Region12,Tender Type1,36,Presentation9,2011-01-02
68,412,Account6,Molecule3,2.79,Provice2,Region2,Tender Type4,10,Presentation9,2011-01-03
69,421,Account101,Molecule3,3.0,Provice3,Region3,Tender Type1,36,Presentation9,2011-01-03
70,425,Account26,Molecule3,2.45,Provice34,Region12,Tender Type1,24,Presentation9,2011-03-28
71,431,Account11,Molecule3,2.8,Provice1,Region1,Tender Type2,12,Presentation9,2011-01-04
72,437,Account4,Molecule3,2.4512,Provice2,Region2,Tender Type4,8,Presentation9,2011-01-05
73,447,Account19,Molecule3,2.57,Provice5,Region1,Tender Type3,48,Presentation9,2011-05-18
74,448,Account73,Molecule3,2.98009,Provice28,Region18,Tender Type1,36,Presentation9,2011-05-31
75,459,Account98,Molecule3,2.52,Provice3,Region3,Tender Type1,36,Presentation9,2011-01-06
76,460,Account32,Molecule3,2.85,Provice1,Region1,Tender Type2,36,Presentation9,2011-01-10
77,464,Account74,Molecule3,2.67,Provice6,Region5,Tender Type1,36,Presentation9,2011-10-31
78,467,Account96,Molecule3,2.485,Provice7,Region6,Tender Type1,36,Presentation9,2011-01-11
79,477,Account27,Molecule3,2.201,Provice14,Region12,Tender Type1,26,Presentation9,2011-11-30
80,480,Account112,Molecule3,2.11,Provice2,Region2,Tender Type3,12,Presentation9,2012-01-01
81,485,Account109,Molecule3,,Provice8,Region7,Tender Type1,24,Presentation9,2012-12-01
82,486,Account53,Molecule3,2.098,Provice9,Region8,Tender Type1,48,Presentation9,2012-01-03
83,496,Account15,Molecule3,1.98,Provice10,Region9,Tender Type1,24,Presentation9,2012-03-15
84,502,Account52,Molecule3,1.98,Provice26,Region9,Tender Type1,24,Presentation9,2012-03-15
85,510,Account119,Molecule3,2.23,Provice13,Region10,Tender Type1,12,Presentation9,2012-01-04
86,512,Account25,Molecule3,2.1,Provice11,Region10,Tender Type1,12,Presentation9,2012-04-29
87,519,Account5,Molecule3,2.0,Provice36,Region1,Tender Type1,36,Presentation9,2012-07-05
88,520,Account34,Molecule3,2.0201,Provice42,Region19,Tender Type1,36,Presentation9,2012-07-05
89,530,Account79,Molecule3,1.87,Provice12,Region11,Tender Type3,48,Presentation9,2012-01-08
90,537,Account111,Molecule3,1.2489,Provice15,Region13,Tender Type3,48,Presentation9,2012-01-08
91,539,Account83,Molecule3,1.54,Provice13,Region10,Tender Type3,48,Presentation9,2012-01-09
92,541,Account109,Molecule3,1.23375,Provice8,Region7,Tender Type1,15,Presentation9,2012-10-26
93,549,Account19,Molecule3,1.84,Provice5,Region1,Tender Type3,31,Presentation9,2012-10-28
94,550,Account112,Molecule3,1.45,Provice2,Region2,Tender Type3,12,Presentation9,2012-07-12
95,558,Account27,Molecule3,1.829,Provice14,Region12,Tender Type3,24,Presentation9,2013-01-02
96,560,Account58,Molecule3,1.94,Provice1,Region1,Tender Type4,12,Presentation9,2013-01-02
97,562,Account70,Molecule3,1.49,Provice39,Region14,Tender Type3,36,Presentation9,2013-06-02
98,566,Account107,Molecule3,1.65,Provice19,Region16,Tender Type3,12,Presentation9,2013-01-03
99,570,Account37,Molecule3,1.99999,Provice27,Region1,Tender Type1,36,Presentation9,2013-03-31
100,574,Account11,Molecule3,1.92,Provice1,Region1,Tender Type1,48,Presentation9,2013-01-05
101,582,Account76,Molecule3,1.43,Provice49,Region3,Tender Type3,36,Presentation9,2013-05-20
102,583,Account43,Molecule3,1.79,Provice43,Region20,Tender Type1,36,Presentation9,2013-01-06
103,586,Account49,Molecule3,1.965,Provice16,Region14,Tender Type1,24,Presentation9,2013-06-06
104,587,Account27,Molecule3,1.37,Provice14,Region12,Tender Type3,48,Presentation9,2013-06-21
105,592,Account100,Molecule3,1.78,Provice29,Region1,Tender Type4,6,Presentation9,2013-01-07
106,598,Account111,Molecule3,1.55,Provice15,Region13,Tender Type3,12,Presentation9,2013-01-11
107,602,Account108,Molecule3,1.35818,Provice4,Region4,Tender Type3,36,Presentation9,2014-01-01
108,604,Account112,Molecule3,1.43,Provice2,Region2,Tender Type3,12,Presentation9,2014-01-01
109,606,Account58,Molecule3,1.82,Provice1,Region1,Tender Type4,12,Presentation9,2014-01-02
110,607,Account28,Molecule3,1.41,Provice17,Region15,Tender Type3,48,Presentation9,2014-02-21
111,614,Account84,Molecule3,1.352,Provice18,Region5,Tender Type3,36,Presentation9,2014-12-03
112,617,Account59,Molecule3,1.98,Provice27,Region1,Tender Type1,36,Presentation9,2014-01-04
113,622,Account107,Molecule3,1.51,Provice19,Region16,Tender Type1,36,Presentation9,2014-01-05
114,626,Account31,Molecule3,1.47,Provice20,Region17,Tender Type3,24,Presentation9,2014-05-30
115,630,Account73,Molecule3,1.75,Provice28,Region18,Tender Type3,26,Presentation9,2014-06-06
116,633,Account91,Molecule3,1.469,Provice10,Region9,Tender Type3,36,Presentation9,2014-07-08
117,635,Account29,Molecule3,1.48,Provice1,Region1,Tender Type1,12,Presentation9,2014-08-15
118,638,Account90,Molecule3,2.29,Provice50,Region6,Tender Type1,36,Presentation9,2014-01-09
119,641,Account95,Molecule3,1.56,Provice21,Region6,Tender Type3,24,Presentation9,2014-01-11
120,645,Account112,Molecule3,1.33,Provice2,Region2,Tender Type3,12,Presentation9,2015-01-01
121,649,Account23,Molecule3,1.6,Provice22,Region5,Tender Type3,36,Presentation9,2015-12-01
122,653,Account27,Molecule3,1.45,Provice14,Region12,Tender Type3,36,Presentation9,2015-12-02
123,659,Account109,Molecule3,1.44366,Provice8,Region7,Tender Type1,24,Presentation9,2015-03-16
124,661,Account111,Molecule3,1.42,Provice15,Region13,Tender Type3,18,Presentation9,2015-01-04
125,662,Account49,Molecule3,1.47366,Provice16,Region14,Tender Type3,36,Presentation9,2015-04-17
126,666,Account19,Molecule3,1.48,Provice5,Region1,Tender Type3,12,Presentation9,2015-05-31
127,674,Account33,Molecule3,1.48,Provice1,Region1,Tender Type3,36,Presentation9,2015-06-06
128,675,Account58,Molecule3,,Provice1,Region1,Tender Type4,12,Presentation9,2015-01-07
129,676,Account20,Molecule3,1.418,Provice25,Region1,Tender Type3,48,Presentation9,2016-01-01
131,680,Account44,Molecule3,4.37,Provice31,Region3,Tender Type4,6,Presentation8,2009-05-31
132,681,Account26,Molecule3,4.87,Provice34,Region12,Tender Type1,24,Presentation8,2009-03-06
133,683,Account82,Molecule3,3.8,Provice44,Region5,Tender Type1,36,Presentation8,2010-01-02
134,686,Account81,Molecule3,2.5,Provice45,Region7,Tender Type2,16,Presentation8,2010-01-03
135,692,Account80,Molecule3,1.48,Provice24,Region1,Tender Type1,36,Presentation8,2011-01-07
136,700,Account15,Molecule3,1.05,Provice10,Region9,Tender Type1,24,Presentation8,2012-03-15
137,706,Account52,Molecule3,1.1,Provice26,Region9,Tender Type1,24,Presentation8,2012-03-15
138,707,Account34,Molecule3,1.0111,Provice42,Region19,Tender Type1,36,Presentation8,2012-07-05
139,714,Account111,Molecule3,0.99,Provice15,Region13,Tender Type3,48,Presentation8,2012-01-08
140,717,Account83,Molecule3,0.99,Provice13,Region10,Tender Type3,48,Presentation8,2012-01-09
141,722,Account27,Molecule3,0.979,Provice14,Region12,Tender Type3,24,Presentation8,2013-01-02
142,723,Account76,Molecule3,0.92,Provice49,Region3,Tender Type3,36,Presentation8,2013-05-20
143,725,Account95,Molecule3,1.4,Provice21,Region6,Tender Type3,24,Presentation8,2014-01-11
144,731,Account91,Molecule3,1.74,Provice10,Region9,Tender Type1,24,Presentation10,2010-01-07
145,735,Account107,Molecule3,1.75,Provice19,Region16,Tender Type1,36,Presentation10,2010-07-30
146,736,Account94,Molecule3,1.89,Provice47,Region6,Tender Type1,36,Presentation10,2010-01-10
147,744,Account57,Molecule3,1.75,Provice23,Region10,Tender Type1,36,Presentation10,2010-01-12
148,747,Account27,Molecule3,1.6,Provice14,Region12,Tender Type1,36,Presentation10,2011-01-02
149,751,Account101,Molecule3,1.6,Provice3,Region3,Tender Type1,36,Presentation10,2011-01-03
150,756,Account11,Molecule3,1.5,Provice1,Region1,Tender Type2,12,Presentation10,2011-01-04
151,761,Account74,Molecule3,1.45,Provice6,Region5,Tender Type1,36,Presentation10,2011-10-31
152,765,Account15,Molecule3,1.05,Provice10,Region9,Tender Type1,24,Presentation10,2012-03-15
153,771,Account52,Molecule3,1.05,Provice26,Region9,Tender Type1,24,Presentation10,2012-03-15
154,780,Account25,Molecule3,1.11,Provice11,Region10,Tender Type1,12,Presentation10,2012-04-29
155,786,Account79,Molecule3,0.98,Provice12,Region11,Tender Type3,48,Presentation10,2012-01-08
156,791,Account111,Molecule3,0.889,Provice15,Region13,Tender Type3,48,Presentation10,2012-01-08
157,792,Account83,Molecule3,0.87,Provice13,Region10,Tender Type3,48,Presentation10,2012-01-09
158,795,Account112,Molecule3,0.8675,Provice2,Region2,Tender Type3,12,Presentation10,2012-07-12
159,799,Account58,Molecule3,0.98,Provice1,Region1,Tender Type4,12,Presentation10,2013-01-02
160,800,Account70,Molecule3,1.18,Provice39,Region14,Tender Type3,36,Presentation10,2013-06-02
