,ID,Account,Molecule,Winning_price_per_standard_unit,Province,Region,Tender_Type,Length_of_contract_in_Months,Presentation,Start_date
245,1024,Account15,Molecule4,5.0,Provice10,Region9,Tender Type1,24,Presentation12,2010-01-03
246,1025,Account14,Molecule4,19.98,Provice1,Region1,Tender Type2,36,Presentation12,2010-01-05
247,1026,Account107,Molecule4,23.69,Provice19,Region16,Tender Type1,36,Presentation12,2010-07-30
248,1027,Account20,Molecule4,24.87,Provice25,Region1,Tender Type4,48,Presentation12,2010-01-09
249,1028,Account64,Molecule4,23.89012,Provice3,Region3,Tender Type1,36,Presentation12,2010-09-29
250,1029,Account94,Molecule4,17.96,Provice47,Region6,Tender Type1,36,Presentation12,2010-01-10
251,1030,Account9,Molecule4,20.89,Provice33,Region1,Tender Type1,36,Presentation12,2010-01-11
252,1031,Account57,Molecule4,23.9,Provice23,Region10,Tender Type1,36,Presentation12,2010-01-12
253,1032,Account104,Molecule4,,Provice1,Region1,Tender Type1,12,Presentation12,2010-12-16
254,1033,Account24,Molecule4,20.2,Provice52,Region2,Tender Type4,6,Presentation12,2010-12-31
255,1034,Account27,Molecule4,20.6,Provice14,Region12,Tender Type1,36,Presentation12,2011-01-02
256,1035,Account101,Molecule4,14.90563,Provice3,Region3,Tender Type1,36,Presentation12,2011-01-03
257,1036,Account20,Molecule4,18.0,Provice25,Region1,Tender Type4,48,Presentation12,2011-01-04
260,1040,Account98,Molecule4,,Provice3,Region3,Tender Type1,36,Presentation12,2011-01-06
262,1042,Account80,Molecule4,20.15,Provice24,Region1,Tender Type1,36,Presentation12,2011-01-07
265,1046,Account94,Molecule4,0.89,Provice47,Region6,Tender Type4,14,Presentation12,2011-01-11
327,1273,Account15,Molecule4,1.54,Provice10,Region9,Tender Type1,24,Presentation13,2010-01-03
328,1274,Account107,Molecule4,1.46,Provice19,Region16,Tender Type1,36,Presentation13,2010-07-30
329,1275,Account64,Molecule4,1.44996,Provice3,Region3,Tender Type1,36,Presentation13,2010-09-29
330,1276,Account94,Molecule4,1.31,Provice47,Region6,Tender Type1,36,Presentation13,2010-01-10
331,1277,Account104,Molecule4,,Provice1,Region1,Tender Type1,12,Presentation13,2010-12-16
375,1399,Account15,Molecule4,2.57,Provice10,Region9,Tender Type1,24,Presentation14,2010-01-03
376,1400,Account27,Molecule4,1.65,Provice14,Region12,Tender Type1,30,Presentation14,2010-03-31
377,1401,Account92,Molecule4,1.67,Provice20,Region17,Tender Type4,15,Presentation14,2010-03-31
378,1402,Account14,Molecule4,1.39,Provice1,Region1,Tender Type2,36,Presentation14,2010-01-05
379,1403,Account107,Molecule4,1.92,Provice19,Region16,Tender Type1,36,Presentation14,2010-07-30
380,1404,Account20,Molecule4,2.71084,Provice25,Region1,Tender Type4,48,Presentation14,2010-01-09
381,1405,Account64,Molecule4,2.34,Provice3,Region3,Tender Type1,36,Presentation14,2010-09-29
382,1406,Account94,Molecule4,1.92,Provice47,Region6,Tender Type1,36,Presentation14,2010-01-10
383,1407,Account9,Molecule4,2.2,Provice33,Region1,Tender Type1,36,Presentation14,2010-01-11
384,1408,Account104,Molecule4,,Provice1,Region1,Tender Type1,12,Presentation14,2010-12-16
385,1409,Account24,Molecule4,1.88,Provice52,Region2,Tender Type4,6,Presentation14,2010-12-31
386,1410,Account21,Molecule4,2.71,Provice25,Region1,Tender Type2,43,Presentation14,2011-01-02
387,1411,Account27,Molecule4,1.56,Provice14,Region12,Tender Type1,36,Presentation14,2011-01-02
388,1412,Account101,Molecule4,1.59006,Provice3,Region3,Tender Type1,36,Presentation14,2011-01-03
389,1413,Account11,Molecule4,1.749,Provice1,Region1,Tender Type2,12,Presentation14,2011-01-04
390,1414,Account20,Molecule4,1.7,Provice25,Region1,Tender Type4,48,Presentation14,2011-01-04
393,1418,Account98,Molecule4,,Provice3,Region3,Tender Type1,36,Presentation14,2011-01-06
394,1419,Account80,Molecule4,1.85,Provice24,Region1,Tender Type1,36,Presentation14,2011-01-07
395,1423,Account61,Molecule4,0.228,Provice25,Region1,Tender Type4,28,Presentation14,2011-01-09
396,1425,Account1,Molecule4,0.49999,Provice25,Region1,Tender Type2,12,Presentation14,2011-01-10
