,ID,Account,Molecule,Winning_price_per_standard_unit,Province,Region,Tender_Type,Length_of_contract_in_Months,Presentation,Start_date
258,1037,Account19,Molecule4,21.5,Provice5,Region1,Tender Type3,48,Presentation12,2011-05-18
259,1038,Account73,Molecule4,23.8,Provice28,Region18,Tender Type1,36,Presentation12,2011-05-31
261,1041,Account32,Molecule4,20.0,Provice1,Region1,Tender Type1,36,Presentation12,2011-06-29
263,1043,Account111,Molecule4,2.11,Provice15,Region13,Tender Type2,5,Presentation12,2011-09-29
264,1045,Account74,Molecule4,9.5,Provice6,Region5,Tender Type1,36,Presentation12,2011-10-31
266,1053,Account98,Molecule4,1.45,Provice3,Region3,Tender Type4,6,Presentation12,2011-09-11
267,1054,Account2,Molecule4,4.49878,Provice53,Region1,Tender Type1,48,Presentation12,2012-01-01
268,1057,Account61,Molecule4,3.79,Provice25,Region1,Tender Type4,24,Presentation12,2012-01-01
269,1065,Account64,Molecule4,0.8,Provice3,Region3,Tender Type4,12,Presentation12,2012-01-01
270,1072,Account92,Molecule4,1.38,Provice20,Region17,Tender Type4,24,Presentation12,2012-01-01
271,1075,Account95,Molecule4,0.764,Provice21,Region6,Tender Type1,12,Presentation12,2012-01-01
272,1080,Account108,Molecule4,0.59988,Provice4,Region4,Tender Type1,20,Presentation12,2012-01-01
273,1089,Account112,Molecule4,1.0949,Provice2,Region2,Tender Type3,12,Presentation12,2012-01-01
274,1091,Account53,Molecule4,0.87,Provice9,Region8,Tender Type1,48,Presentation12,2012-01-03
275,1097,Account15,Molecule4,0.647,Provice10,Region9,Tender Type1,24,Presentation12,2012-01-04
276,1102,Account96,Molecule4,0.69,Provice7,Region6,Tender Type2,33,Presentation12,2012-01-04
277,1109,Account25,Molecule4,0.73,Provice11,Region10,Tender Type1,12,Presentation12,2012-04-29
278,1113,Account98,Molecule4,0.62,Provice3,Region3,Tender Type4,36,Presentation12,2012-01-05
279,1121,Account5,Molecule4,1.05,Provice36,Region1,Tender Type1,36,Presentation12,2012-07-05
280,1123,Account34,Molecule4,1.283,Provice42,Region19,Tender Type1,36,Presentation12,2012-07-05
281,1130,Account79,Molecule4,0.56,Provice12,Region11,Tender Type3,48,Presentation12,2012-01-08
282,1134,Account111,Molecule4,0.429,Provice15,Region13,Tender Type3,48,Presentation12,2012-01-08
283,1139,Account83,Molecule4,0.6,Provice13,Region10,Tender Type3,48,Presentation12,2012-01-09
284,1147,Account22,Molecule4,0.674,Provice20,Region17,Tender Type1,24,Presentation12,2012-01-10
285,1153,Account27,Molecule4,0.49,Provice14,Region12,Tender Type1,36,Presentation12,2012-01-10
286,1162,Account19,Molecule4,0.45,Provice5,Region1,Tender Type3,31,Presentation12,2012-10-28
287,1165,Account57,Molecule4,0.67,Provice23,Region10,Tender Type4,12,Presentation12,2012-01-11
288,1169,Account112,Molecule4,0.56,Provice2,Region2,Tender Type3,12,Presentation12,2012-07-12
289,1172,Account27,Molecule4,0.6,Provice14,Region12,Tender Type3,24,Presentation12,2013-01-02
290,1176,Account58,Molecule4,1.58,Provice1,Region1,Tender Type4,12,Presentation12,2013-01-02
291,1181,Account73,Molecule4,0.58,Provice28,Region18,Tender Type3,36,Presentation12,2013-02-20
292,1185,Account107,Molecule4,0.678,Provice19,Region16,Tender Type3,12,Presentation12,2013-01-03
293,1188,Account11,Molecule4,0.718,Provice1,Region1,Tender Type1,48,Presentation12,2013-01-05
294,1190,Account76,Molecule4,0.594,Provice49,Region3,Tender Type3,36,Presentation12,2013-05-20
295,1191,Account43,Molecule4,0.7,Provice43,Region20,Tender Type1,36,Presentation12,2013-01-06
296,1196,Account49,Molecule4,0.699,Provice16,Region14,Tender Type1,24,Presentation12,2013-06-06
297,1201,Account27,Molecule4,0.594,Provice14,Region12,Tender Type3,48,Presentation12,2013-06-21
298,1203,Account94,Molecule4,0.69,Provice47,Region6,Tender Type1,6,Presentation12,2013-01-07
299,1204,Account115,Molecule4,0.674,Provice54,Region7,Tender Type3,24,Presentation12,2013-01-07
300,1206,Account111,Molecule4,0.689,Provice15,Region13,Tender Type3,12,Presentation12,2013-01-11
301,1208,Account82,Molecule4,0.689,Provice44,Region5,Tender Type2,6,Presentation12,2013-11-30
302,1209,Account58,Molecule4,1.0,Provice1,Region1,Tender Type4,12,Presentation12,2014-01-02
303,1211,Account28,Molecule4,0.68,Provice17,Region15,Tender Type3,48,Presentation12,2014-02-21
304,1214,Account28,Molecule4,0.734,Provice17,Region15,Tender Type3,48,Presentation12,2014-02-21
305,1215,Account84,Molecule4,0.684,Provice18,Region5,Tender Type3,36,Presentation12,2014-12-03
306,1217,Account59,Molecule4,0.7,Provice27,Region1,Tender Type1,36,Presentation12,2014-01-04
307,1226,Account112,Molecule4,0.663,Provice2,Region2,Tender Type3,9,Presentation12,2014-01-04
308,1228,Account107,Molecule4,0.689,Provice19,Region16,Tender Type1,36,Presentation12,2014-01-05
309,1231,Account70,Molecule4,0.699,Provice39,Region14,Tender Type3,36,Presentation12,2014-12-05
310,1233,Account29,Molecule4,0.594,Provice1,Region1,Tender Type1,12,Presentation12,2014-08-15
311,1234,Account29,Molecule4,0.594,Provice1,Region1,Tender Type1,12,Presentation12,2014-08-15
312,1236,Account68,Molecule4,0.785,Provice23,Region10,Tender Type2,24,Presentation12,2014-01-09
313,1240,Account95,Molecule4,0.652,Provice21,Region6,Tender Type3,24,Presentation12,2014-01-11
314,1243,Account112,Molecule4,0.64,Provice2,Region2,Tender Type3,12,Presentation12,2015-01-01
315,1244,Account111,Molecule4,0.624,Provice15,Region13,Tender Type3,22,Presentation12,2015-07-01
316,1247,Account23,Molecule4,0.728,Provice22,Region5,Tender Type3,36,Presentation12,2015-12-01
317,1250,Account27,Molecule4,0.653,Provice14,Region12,Tender Type3,36,Presentation12,2015-12-02
318,1253,Account91,Molecule4,0.624,Provice10,Region9,Tender Type3,36,Presentation12,2015-02-24
319,1256,Account109,Molecule4,0.639,Provice8,Region7,Tender Type1,24,Presentation12,2015-03-16
320,1257,Account102,Molecule4,2.0,Provice24,Region1,Tender Type4,36,Presentation12,2015-04-29
321,1263,Account19,Molecule4,0.85,Provice5,Region1,Tender Type3,12,Presentation12,2015-05-31
322,1264,Account66,Molecule4,0.89,Provice4,Region4,Tender Type1,19,Presentation12,2015-01-06
323,1267,Account33,Molecule4,0.85,Provice1,Region1,Tender Type3,36,Presentation12,2015-06-06
324,1268,Account99,Molecule4,0.75,Provice4,Region4,Tender Type3,24,Presentation12,2015-06-15
325,1269,Account58,Molecule4,0.985,Provice1,Region1,Tender Type4,12,Presentation12,2015-01-07
326,1271,Account20,Molecule4,0.84,Provice25,Region1,Tender Type3,48,Presentation12,2016-01-01
332,1278,Account73,Molecule4,1.48184,Provice28,Region18,Tender Type1,36,Presentation13,2011-05-31
333,1279,Account32,Molecule4,1.35,Provice1,Region1,Tender Type1,36,Presentation13,2011-06-29
334,1282,Account64,Molecule4,0.09,Provice3,Region3,Tender Type4,12,Presentation13,2012-01-01
